Comment,Designator,Footprint,LCSC
3V3,"D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D15, D17, D18, D20, D22",Diode_SMD:D_SOD-923,C96512
B5819W,D24,Diode_SMD:D_SOD-123,C8598
100R @ 100MHz,"FB1, FB2",Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C1015
MPU-6050,U1,Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm,C24112
SHTC3,U2,Sensor_Humidity:Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,C194656
STM32F405RGT6,U3,Package_QFP:LQFP-64_10x10mm_P0.5mm,C15742
AT24C256,U4,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C6482
SN65HVD230,U6,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C12084
AMS1117-3.3,U8,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
25MHz 12pF,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C9006
